n,p_true,rho,method,lb_mean,ub_mean,len_mean,lb_sd,ub_sd,conf_level,n_sim,scenario,design
1000,0.01,0.0,jeffreys,0.0052658984563889,0.0176583361644257,0.0123924377080367,0.0021941975395852642,0.004097267706510643,0.95,10000,Baseline,scenarios
1000,0.01,0.0,cp,0.0049246341213605,0.018310575536284,0.0133859414149234,0.002167680482939258,0.004071515272106263,0.95,10000,Baseline,scenarios
1000,0.01,0.0,normal,0.0039567276341609,0.0161554369234556,0.0121987092892946,0.0021710271614295796,0.00412399322379246,0.95,10000,Baseline,scenarios
1000,0.01,0.01,jeffreys,0.0057702102737603,0.0167461629205489,0.0109759526467886,0.007549917889625837,0.013012454482333454,0.95,10000,Baseline,scenarios
1000,0.01,0.01,cp,0.0054980862534308,0.0174801294161028,0.011982043162672,0.0074657937364468645,0.012900572552429601,0.95,10000,Baseline,scenarios
1000,0.01,0.01,normal,0.0047846139108531,0.0151320655533369,0.0103474516424837,0.007322002945512336,0.013182087829410787,0.95,10000,Baseline,scenarios
1000,0.01,0.05,jeffreys,0.0071357138025298,0.0157529108655916,0.0086171970630618,0.01852377417180149,0.02657184398499284,0.95,10000,Baseline,scenarios
1000,0.01,0.05,cp,0.0069760433373476,0.0166681694344129,0.0096921260970653,0.018421640283215825,0.026410697052319538,0.95,10000,Baseline,scenarios
1000,0.01,0.05,normal,0.0066028860527425,0.0137838906150552,0.0071810045623127,0.018269280084171353,0.026895826586067217,0.95,10000,Baseline,scenarios
1000,0.01,0.1,jeffreys,0.0075531955580642,0.0147310843174154,0.0071778887593512,0.026936513897668716,0.035439492970444714,0.95,10000,Baseline,scenarios
1000,0.01,0.1,cp,0.0074461008299595,0.0157339700559413,0.0082878692259817,0.026841931387729907,0.035290093745433716,0.95,10000,Baseline,scenarios
1000,0.01,0.1,normal,0.0072111706631904,0.0125848074519874,0.0053736367887969,0.026733158955899693,0.035776172911646094,0.95,10000,Baseline,scenarios
1000,0.001,0.0,jeffreys,0.0001981551378104,0.0045014536195067,0.0043032984816963,0.00029620696824170353,0.0018587185389283202,0.95,10000,Low Default,scenarios
1000,0.001,0.0,cp,0.0001164420048152,0.0054699060008381,0.0053534639960228,0.00023090354562632038,0.0017076372173000776,0.95,10000,Low Default,scenarios
1000,0.001,0.0,normal,4.5537328898834235e-06,0.0025257638762402,0.0025212101433503,5.3225811585378505e-05,0.002217578189219845,0.95,10000,Low Default,scenarios
1000,0.001,0.01,jeffreys,0.0004377925519374,0.0040689693530996,0.0036311768011621,0.0019475143074290434,0.0045120818332698666,0.95,10000,Low Default,scenarios
1000,0.001,0.01,cp,0.0003932148185543,0.0051578360354543,0.0047646212168999,0.0018824001196440035,0.004377848394058307,0.95,10000,Low Default,scenarios
1000,0.001,0.01,normal,0.0002861943603555,0.0017542068715816,0.0014680125112261,0.001727777871144283,0.004788803203244733,0.95,10000,Low Default,scenarios
1000,0.001,0.05,jeffreys,0.0006660091578037,0.0038280226882075,0.0031620135304038,0.00572099984726907,0.008672760835795159,0.95,10000,Low Default,scenarios
1000,0.001,0.05,cp,0.0006470036092311,0.0049703221090259,0.0043233184997948,0.00567473564874127,0.008591329024853638,0.95,10000,Low Default,scenarios
1000,0.001,0.05,normal,0.0006040639332839,0.0013876463503053,0.0007835824170213,0.005590591013306953,0.008839719240933281,0.95,10000,Low Default,scenarios
1000,0.001,0.1,jeffreys,0.0007610914228126,0.0037640818495236,0.003002990426711,0.0076440898775219455,0.010815625315297308,0.95,10000,Low Default,scenarios
1000,0.001,0.1,cp,0.0007492347997934,0.0049191361054946,0.0041699013057012,0.007601367706577016,0.01074818106956242,0.95,10000,Low Default,scenarios
1000,0.001,0.1,normal,0.0007248523196386,0.0012966785829032,0.0005718262632645,0.007534310639122678,0.010959443391678246,0.95,10000,Low Default,scenarios
