prefix,n,method_key,conf_level,xlim_low,xlim_high,rmse,figure
binom,50,cp,0.95,0.0,0.1,0.033611713731971526,binom_coverage_cp_n50.png
binom,50,cp_upper,0.95,0.0,0.1,0.04174144982308756,binom_coverage_cp_upper_n50.png
binom,50,jeffreys,0.95,0.0,0.1,0.025180041699727197,binom_coverage_jeffreys_n50.png
binom,50,jeffreys_ecb,0.95,0.0,0.1,0.04026078489051103,binom_coverage_jeffreys_ecb_n50.png
binom,50,normal,0.95,0.0,0.1,0.2782285072861274,binom_coverage_normal_n50.png
binom,50,normal_upper,0.95,0.0,0.1,0.28286430568973053,binom_coverage_normal_upper_n50.png
binom,100,cp,0.95,0.0,0.1,0.027590170351050793,binom_coverage_cp_n100.png
binom,100,cp_upper,0.95,0.0,0.1,0.03342716310627236,binom_coverage_cp_upper_n100.png
binom,100,jeffreys,0.95,0.0,0.1,0.018833267551507542,binom_coverage_jeffreys_n100.png
binom,100,jeffreys_ecb,0.95,0.0,0.1,0.030279095098764103,binom_coverage_jeffreys_ecb_n100.png
binom,100,normal,0.95,0.0,0.1,0.19039776451768894,binom_coverage_normal_n100.png
binom,100,normal_upper,0.95,0.0,0.1,0.19633927192490042,binom_coverage_normal_upper_n100.png
binom,1000,cp,0.95,0.0,0.1,0.012196565090221136,binom_coverage_cp_n1000.png
binom,1000,cp_upper,0.95,0.0,0.1,0.013539880600162896,binom_coverage_cp_upper_n1000.png
binom,1000,jeffreys,0.95,0.0,0.1,0.0066910163652467635,binom_coverage_jeffreys_n1000.png
binom,1000,jeffreys_ecb,0.95,0.0,0.1,0.010487858059044591,binom_coverage_jeffreys_ecb_n1000.png
binom,1000,normal,0.95,0.0,0.1,0.029993309809578077,binom_coverage_normal_n1000.png
binom,1000,normal_upper,0.95,0.0,0.1,0.03851817017114561,binom_coverage_normal_upper_n1000.png
binom,10000,cp,0.95,0.0,0.1,0.004690966496007717,binom_coverage_cp_n10000.png
binom,10000,cp_upper,0.95,0.0,0.1,0.004830534822011632,binom_coverage_cp_upper_n10000.png
binom,10000,jeffreys,0.95,0.0,0.1,0.0029468118365447047,binom_coverage_jeffreys_n10000.png
binom,10000,jeffreys_ecb,0.95,0.0,0.1,0.0031596044056178864,binom_coverage_jeffreys_ecb_n10000.png
binom,10000,normal,0.95,0.0,0.1,0.003749177687618077,binom_coverage_normal_n10000.png
binom,10000,normal_upper,0.95,0.0,0.1,0.008956078010677031,binom_coverage_normal_upper_n10000.png
binom_ldp,1000,cp,0.95,0.0001,0.005,0.03330075124277733,binom_ldp_coverage_cp_n1000.png
binom_ldp,1000,jeffreys,0.95,0.0001,0.005,0.023968154566702336,binom_ldp_coverage_jeffreys_n1000.png
binom_ldp,1000,normal,0.95,0.0001,0.005,0.266849269688589,binom_ldp_coverage_normal_n1000.png
