scenario,n,p_target,p_used,conf_level,S,method,coverage,lb_mean,ub_mean,len_mean,lb_var,ub_var,len_var,lb_sd,ub_sd,len_sd,lb_se,ub_se,len_se
Baseline,1000,0.01,0.0099397993311036,0.95,10000,Jeffreys,0.9432,0.0051278768938253,0.0173947180477093,0.0122668411538839,4.763822336933081e-06,1.6852386941021495e-05,3.7584288708827703e-06,0.002182618229772005,0.004105165884714221,0.0019386667766490377,2.182618229772005e-05,4.105165884714221e-05,1.9386667766490378e-05
Baseline,1000,0.01,0.0099397993311036,0.95,10000,Clopper–Pearson,0.9743,0.0047885489174798,0.018048771103351,0.0132602221858712,4.644652660870984e-06,1.6633548378569437e-05,3.765636200826883e-06,0.0021551456240521158,0.004078424742295662,0.0019405247230650999,2.1551456240521156e-05,4.078424742295662e-05,1.9405247230651e-05
Baseline,1000,0.01,0.0099397993311036,0.95,10000,Normal Approximation,0.9203,0.0038146038873334,0.0158899961126665,0.0120753922253331,4.703085675898414e-06,1.707805749521903e-05,3.9299475022348865e-06,0.0021686598801790966,0.0041325606462844595,0.00198240951930596,2.1686598801790967e-05,4.132560646284459e-05,1.98240951930596e-05
Low Default,1000,0.001,0.001,0.95,10000,Jeffreys,0.9818,0.0001931489446571,0.0044769685638136,0.0042838196191564,8.311006821808416e-08,3.372857083503879e-06,2.499702757798016e-06,0.00028828816870985906,0.0018365339864821121,0.0015810448310525594,2.8828816870985905e-06,1.8365339864821122e-05,1.5810448310525594e-05
Low Default,1000,0.001,0.001,0.95,10000,Clopper–Pearson,0.9818,0.0001124124215838,0.0054467953938722,0.0053343829722883,4.9967900276375974e-08,2.841325678038489e-06,2.2561139431112723e-06,0.00022353500906206161,0.0016856232313415976,0.0015020365984593292,2.235350090620616e-06,1.6856232313415977e-05,1.5020365984593292e-05
Low Default,1000,0.001,0.001,0.95,10000,Normal Approximation,0.632,-0.0005166949127003,0.0024988949127003,0.0030155898254006,1.95361828278069e-07,4.824424580780699e-06,6.105089658117537e-06,0.00044199754329415567,0.0021964572795255314,0.0024708479633756375,4.419975432941557e-06,2.1964572795255314e-05,2.4708479633756375e-05
Small Sample,100,0.01,0.0099397993311036,0.95,10000,Jeffreys,0.9813,0.001942822552072,0.0438487347984617,0.0419059122463896,8.498079845640052e-06,0.000319899456764,0.0002343866366933,0.0029151466250670914,0.017885733330339017,0.015309690940489295,2.9151466250670914e-05,0.00017885733330339016,0.00015309690940489294
Small Sample,100,0.01,0.0099397993311036,0.95,10000,Clopper–Pearson,0.9813,0.0011324529349899,0.0532859928284589,0.052153539893469,5.096409337389598e-06,0.000267811197478,0.0002107101681815,0.002257522832086001,0.016364938052983887,0.014515859195428289,2.2575228320860007e-05,0.00016364938052983887,0.0001451585919542829
Small Sample,100,0.01,0.0099397993311036,0.95,10000,Normal Approximation,0.6287,-0.0050121900637417,0.0247861900637417,0.0297983801274834,1.9352768993238455e-05,0.0004790869638074,0.0006010505416013,0.004399178217944626,0.02188805527696328,0.02451633214005105,4.399178217944626e-05,0.0002188805527696328,0.0002451633214005105
Large Sample,10000,0.01,0.0099397993311036,0.95,10000,Jeffreys,0.9558,0.0081174561807799,0.0120027954404621,0.0038853392596821,7.865310859881892e-07,1.1599825827553463e-06,3.6208165258941974e-08,0.000886865878241005,0.0010770248756437088,0.00019028443251864293,8.86865878241005e-06,1.0770248756437089e-05,1.9028443251864292e-06
Large Sample,10000,0.01,0.0099397993311036,0.95,10000,Clopper–Pearson,0.9602,0.0080723325268579,0.0120576308022804,0.0039852982754224,7.860894644704799e-07,1.1594496145928803e-06,3.620883303247773e-08,0.0008866168645308299,0.0010767774211009815,0.00019028618718256387,8.8661686453083e-06,1.0767774211009815e-05,1.9028618718256387e-06
Large Sample,10000,0.01,0.0099397993311036,0.95,10000,Normal Approximation,0.9526,0.0079785621228131,0.0118581778771868,0.0038796157543736,7.867097393968863e-07,1.1609609388052208e-06,3.634318400421436e-08,0.0008869665942959105,0.0010774789737183835,0.00019063888376775174,8.869665942959105e-06,1.0774789737183835e-05,1.9063888376775174e-06
