prefix,metric,scenario,scenario_slug,n,T0,T,p_hat,nominal,rep_method,rep_label,collapsed_group,rmse,figure
temporal_drift,coverage,Baseline,baseline,1000,24,68,0.01,0.95,cp,CP,cp,0.01994450388688872,temporal_drift_baseline_coverage_vs_time.png
temporal_drift,coverage,Baseline,baseline,1000,24,68,0.01,0.95,jeffreys,Jeffreys,jeffreys,0.005768091742763901,temporal_drift_baseline_coverage_vs_time.png
temporal_drift,coverage,Baseline,baseline,1000,24,68,0.01,0.95,normal,Normal,normal,0.01999273765204575,temporal_drift_baseline_coverage_vs_time.png
temporal_drift,coverage,Large Sample,large_sample,10000,24,68,0.01,0.95,cp,CP,cp,0.005706923040328809,temporal_drift_large_sample_coverage_vs_time.png
temporal_drift,coverage,Large Sample,large_sample,10000,24,68,0.01,0.95,jeffreys,Jeffreys,jeffreys,0.002564032898751955,temporal_drift_large_sample_coverage_vs_time.png
temporal_drift,coverage,Large Sample,large_sample,10000,24,68,0.01,0.95,normal,Normal,normal,0.004075717186978885,temporal_drift_large_sample_coverage_vs_time.png
temporal_drift,coverage,Low Default,low_default,1000,24,68,0.001,0.95,cp,CP,cp,0.03546144550983591,temporal_drift_low_default_coverage_vs_time.png
temporal_drift,coverage,Low Default,low_default,1000,24,68,0.001,0.95,jeffreys,Jeffreys,jeffreys,0.027135119418980915,temporal_drift_low_default_coverage_vs_time.png
temporal_drift,coverage,Low Default,low_default,1000,24,68,0.001,0.95,normal,Normal,normal,0.24486247670886607,temporal_drift_low_default_coverage_vs_time.png
temporal_drift,coverage,Small Sample,small_sample,100,24,68,0.01,0.95,cp,CP,cp,0.03547594669797623,temporal_drift_small_sample_coverage_vs_time.png
temporal_drift,coverage,Small Sample,small_sample,100,24,68,0.01,0.95,jeffreys,Jeffreys,jeffreys,0.027022234853368264,temporal_drift_small_sample_coverage_vs_time.png
temporal_drift,coverage,Small Sample,small_sample,100,24,68,0.01,0.95,normal,Normal,normal,0.2422816952494372,temporal_drift_small_sample_coverage_vs_time.png
temporal_drift,length,Baseline,baseline,1000,24,68,0.01,0.015104118488794753,cp,CP,cp,0.001727606565980568,temporal_drift_baseline_length_vs_time.png
temporal_drift,length,Baseline,baseline,1000,24,68,0.01,0.014109661803019716,jeffreys,Jeffreys,jeffreys,0.0017267430871993818,temporal_drift_baseline_length_vs_time.png
temporal_drift,length,Baseline,baseline,1000,24,68,0.01,0.013947158996357205,normal,Normal,normal,0.0017556191252001737,temporal_drift_baseline_length_vs_time.png
temporal_drift,length,Large Sample,large_sample,10000,24,68,0.01,0.004556880842654389,cp,CP,cp,0.0005494155927916135,temporal_drift_large_sample_length_vs_time.png
temporal_drift,length,Large Sample,large_sample,10000,24,68,0.01,0.004456918493230199,jeffreys,Jeffreys,jeffreys,0.0005494127482577154,temporal_drift_large_sample_length_vs_time.png
temporal_drift,length,Large Sample,large_sample,10000,24,68,0.01,0.004452049832629931,normal,Normal,normal,0.0005501913866379842,temporal_drift_large_sample_length_vs_time.png
temporal_drift,length,Low Default,low_default,1000,24,68,0.001,0.005811034755073307,cp,CP,cp,0.00046792595772342075,temporal_drift_low_default_length_vs_time.png
temporal_drift,length,Low Default,low_default,1000,24,68,0.001,0.004777247247424727,jeffreys,Jeffreys,jeffreys,0.00048389215880841323,temporal_drift_low_default_length_vs_time.png
temporal_drift,length,Low Default,low_default,1000,24,68,0.001,0.0031676760945061324,normal,Normal,normal,0.0006595659053394317,temporal_drift_low_default_length_vs_time.png
temporal_drift,length,Small Sample,small_sample,100,24,68,0.01,0.05681920308246907,cp,CP,cp,0.004466214614755461,temporal_drift_small_sample_length_vs_time.png
temporal_drift,length,Small Sample,small_sample,100,24,68,0.01,0.04675023066899735,jeffreys,Jeffreys,jeffreys,0.004623182630410822,temporal_drift_small_sample_length_vs_time.png
temporal_drift,length,Small Sample,small_sample,100,24,68,0.01,0.03152851070492073,normal,Normal,normal,0.006475032415018853,temporal_drift_small_sample_length_vs_time.png
temporal_drift,reject_rate,Baseline,baseline,1000,24,68,0.01,0.05,cp,CP,cp,0.26763147401296605,temporal_drift_baseline_reject_rate_vs_time.png
temporal_drift,reject_rate,Baseline,baseline,1000,24,68,0.01,0.05,jeffreys,Jeffreys,jeffreys,0.32196380893619997,temporal_drift_baseline_reject_rate_vs_time.png
temporal_drift,reject_rate,Baseline,baseline,1000,24,68,0.01,0.05,normal,Normal,normal,0.2162011804805341,temporal_drift_baseline_reject_rate_vs_time.png
temporal_drift,reject_rate,Large Sample,large_sample,10000,24,68,0.01,0.05,cp,CP,cp,0.6546820915753018,temporal_drift_large_sample_reject_rate_vs_time.png
temporal_drift,reject_rate,Large Sample,large_sample,10000,24,68,0.01,0.05,jeffreys,Jeffreys,jeffreys,0.6593138061651674,temporal_drift_large_sample_reject_rate_vs_time.png
temporal_drift,reject_rate,Large Sample,large_sample,10000,24,68,0.01,0.05,normal,Normal,normal,0.6501060919075394,temporal_drift_large_sample_reject_rate_vs_time.png
temporal_drift,reject_rate,Low Default,low_default,1000,24,68,0.001,0.05,cp,CP,cp|jeffreys,0.03852988908550317,temporal_drift_low_default_reject_rate_vs_time.png
temporal_drift,reject_rate,Low Default,low_default,1000,24,68,0.001,0.05,normal,Normal,normal,0.24650313295944845,temporal_drift_low_default_reject_rate_vs_time.png
temporal_drift,reject_rate,Small Sample,small_sample,100,24,68,0.01,0.05,cp,CP,cp|jeffreys,0.03883768068740035,temporal_drift_small_sample_reject_rate_vs_time.png
temporal_drift,reject_rate,Small Sample,small_sample,100,24,68,0.01,0.05,normal,Normal,normal,0.24364638159575833,temporal_drift_small_sample_reject_rate_vs_time.png
