Variable,Count,Mean,Std. Dev.,Min,25%,Median,75%,Max
Credit score,27315191,754.676,121.519,333.000,724.000,764.000,790.000,9999.000
Mortgage insurance percent,27315191,4.777,10.267,0.000,0.000,0.000,0.000,999.000
Number of units,27315191,1.034,0.907,1.000,1.000,1.000,1.000,99.000
Combined loan-to-value (CLTV),27315191,72.887,20.540,1.000,61.000,75.000,83.000,999.000
Debt-to-income (DTI),27315191,135.969,296.710,1.000,27.000,36.000,44.000,999.000
Original UPB,27315191,239480.653,130918.098,10000.000,140000.000,214000.000,317000.000,1500000.000
Loan-to-value (LTV),27315191,71.808,19.931,1.000,60.000,75.000,80.000,999.000
Original interest rate,27315191,3.965,0.923,1.500,3.250,3.875,4.625,8.750
Original loan term (months),27315191,314.691,76.278,60.000,240.000,360.000,360.000,559.000
Number of borrowers,27315191,1.531,0.762,1.000,1.000,2.000,2.000,99.000
First-time homebuyer (0/1),27315191,9.000,0.000,9.000,9.000,9.000,9.000,9.000
Prepayment penalty flag (0/1),27315191,0.000,–,0.000,–,–,–,1.000
Super conforming flag (0/1),906451,1.000,–,0.000,–,–,–,1.000
Relief refinance indicator (0/1),2865501,1.000,–,0.000,–,–,–,1.000
Interest-only indicator (0/1),27315191,0.000,–,0.000,–,–,–,1.000
MI cancellation indicator (0/1),27315191,7.996,1.000,7.000,7.000,7.000,9.000,9.000
Default (0/1),27315191,0.006,–,0.000,–,–,–,1.000
